('SKCM', 58.14547801792173)
('THCA', nan)
('UCEC', 56.90703616950081)
('UCS', 49.83676984074414)
('MESO', 47.773279352226716)
('LUAD', 47.725653722526275)
('OV', 47.72277227722772)
('COAD', 44.60888982414428)
('ACC', 39.55414918580673)
('SARC', 34.083400160384926)
('KIRC', 32.46650906225374)
('PCPG', 28.57142857142857)
('STAD', 26.583346444304595)
('TGCT', 25.196850393700785)
('DLBC', 21.862885125484596)
('LAML', 18.29573934837094)
('HNSC', 15.679322898336668)
('BRCA', 15.619486733362326)
('UVM', 14.725738396624472)
('LGG', 13.684312114805387)
('PRAD', 11.764433633825128)
('KICH', 10.204714640198517)
('CESC', 10.03248755657091)
('KIRP', 9.52984783456886)
('THYM', 8.743633276740237)
('LIHC', 8.66804692891649)
('GBM', 7.669500933871447)
('CHOL', 6.0971524288107215)
('PAAD', 4.859294662452683)
('ESCA', 4.645962108648677)
('BLCA', 4.6028699387624545)
('READ', 4.135338345864666)
('LUSC', 2.19047619047619)
